level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
4,M00882,Wheel with Bearings for V-slot Profile - Type B,4.00,M00291,FAB - V-Wheels Bag - M5,False
3,M00253,FAB - DIN985 Lock Nut Bag - M8,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00631,Lock Nut DIN985 M8,2.00,M00253,FAB - DIN985 Lock Nut Bag - M8,False
3,M00955,FAB - DIN439B JamNut Bag - M8,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00613,JamNut DIN439B M8,18.00,M00955,FAB - DIN439B JamNut Bag - M8,False
3,M00966,CNC Fab - Mounting gauge MDF (Frame),2.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),False
3,M01550,Cable Trunking Screws Bag,2.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00423,DIN9021 Washer M4x12,10.00,M01550,Cable Trunking Screws Bag,False
4,M01697,DIN912 M4x12 Black screw,10.00,M01550,Cable Trunking Screws Bag,False
4,M00554,I-Type Sliding Nut M4,10.00,M01550,Cable Trunking Screws Bag,False
3,M00257,FAB - I-Type Sliding Nut Bag - M6,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00556,I-Type Sliding Nut M6,368.00,M00257,FAB - I-Type Sliding Nut Bag - M6,False
3,M00273,FAB - Offset Spacer Bag - 10x14x12,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00708,Offset spacer 10x14x12mm,2.00,M00273,FAB - Offset Spacer Bag - 10x14x12,False
3,M01686,FAB - Pinion v2 - Spacer A (12x16x4) Bag,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M01690,Spacer -12x16x3,2.00,M01686,FAB - Pinion v2 - Spacer A (12x16x4) Bag,False
3,M01687,FAB - Pinion v2 - Spacer B (12x18x8) Bag,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
